Manager,Score,Projected,Boom/Bust,Bench Points,Unused Points,Wins,Losses,Total PF,Ranking,Trend
Player6,90.2,120.9,-30.7,58.86,19.76,3,1,488.36,1,0
Player12,96.22,116.3,-20.08,59.2,30.08,3,1,454.2,2,1
Player1,138.1,117.5,20.6,41.18,1.0,2,2,541.56,3,3
Player5,133.28,116.0,17.28,73.58,18.2,2,2,486.2,4,3
Player10,103.84,111.7,-7.86,83.2,40.9,2,2,480.5,5,-3
Player9,161.8,116.3,45.5,74.76,6.0,2,2,472.96,6,5
Player7,130.34,117.8,12.54,75.82,40.0,2,2,445.02,7,3
Player3,99.1,118.6,-19.5,48.42,6.78,2,2,443.92,8,-4
Player4,98.1,119.3,-21.2,65.24,22.44,2,2,436.28,9,-4
Player8,101.36,122.1,-20.74,54.5,12.4,2,2,416.46,10,-1
Player11,110.92,119.3,-8.38,25.04,8.5,1,3,435.86,11,-3
Player2,92.72,108.3,-15.58,93.36,53.04,1,3,399.86,12,0
